News_ID,Link_to_check
edmo_1238,https://ria.ru/20220407/zaderzhanie-1782232107.html
edmo_1253,https://orf.at/stories/3257946/
edmo_1260,https://tass.com/emergencies/1437443?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
edmo_1260,https://tass.com/russia/1438045
edmo_1270,https://tg.la7.it/
edmo_1270,https://tg.la7.it/esteri/guerra-ucraina-ecco-il-missile-che-ha-colpito-la-stazione-di-kramatosrk-08-04-2022-170588
edmo_1272,https://meduza.io/en/feature/2022/04/06/new-footage-shows-russian-troops-sending-stolen-ukrainian-items-home-through-belarus
edmo_1273,https://southfront.org/strike-on-moskva-missile-cruiser-is-only-precursor-to-change-in-military-situation-in-region/
edmo_1273,https://cz.sputniknews.com/20190101/vybuch-cesko-silvestr-8846725.html
edmo_1275,https://tass.com/politics/1437605
edmo_1275,https://tass.com/emergencies/1437443
edmo_1286,https://tass.com/world/1434717?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
edmo_1291,https://tass.com/russia/1438045?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
edmo_1304,https://report24.news/jubel-vorm-reichstag-ukraine-demonstranten-besingen-vernichtung-aller-russen/
edmo_1315,https://tass.com/politics/1423317?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
edmo_1315,https://tass.com/defense/976431
edmo_1319,https://tg.la7.it/esteri/guerra-ucraina-francesca-mannocchi-intervista-volodymyr-zelensky-a-bucha-04-04-2022-170434
edmo_1322,https://tass.com/world/1434717
edmo_1342,https://ria.ru/20220306/biooruzhie-1776957661.html
edmo_1343,https://report24.news/so-logen-unseren-medien-usa-geben-existenz-von-bio-forschungslabors-in-ukraine-zu/?feed_id=13157
edmo_1355,https://tass.com/politics/1420041
edmo_1379,https://tass.com/world/1418925?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
edmo_1427,https://tass.com/world/1432013
edmo_1442,https://tass.com/politics/1432019
edmo_1457,https://ria.ru/20170614/1496435115.html
edmo_1457,https://ria.ru/20150803/1160022393.html
edmo_1483,https://babylonbee.com/news/zelensky-begs-congress-to-bring-back-trump
edmo_1483,https://babylonbee.com/about
edmo_1519,https://meduza.io/en/feature/2022/06/16/he-had-a-bag-over-his-head-and-a-broken-face
edmo_1519,https://tass.com/politics/1428217
edmo_1551,https://ria.ru/20220311/aviaudar-1777770137.html
edmo_1564,https://ria.ru/20220321/putin-1779358581.html
edmo_1564,https://ria.ru/20220321/putin-1779359232.html
edmo_1566,https://southfront.org/shaping-a-new-world/
edmo_1566,http://thesaker.is/terminology/
edmo_1566,http://thesaker.is/day-10-of-the-russian-special-operation-in-banderastan/
